,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score overall
support,4886,4762,0.871165008,9648,9648,sessions_labeled_emotion_happiness,KNN,0.871165008
precision,0.989940958,0.912215857,0.947816506,0.951078407,0.951156257,sessions_labeled_emotion_interest,KNN,0.947816506
recall,0.992111273,0.004716981,0.950487174,0.498414127,0.950487174,sessions_labeled_emotion_happiness,SVM,0.950487174
f1-score,0.974609972,0.007968127,0.950487174,0.49128905,0.933860704,sessions_labeled_emotion_happiness,SVM,0.950487174
support,4817,212,0.950487174,5029,5029,sessions_labeled_emotion_happiness,SVM,0.950487174
precision,0.998691956,0.911920894,0.951532643,0.955306425,0.955634579,sessions_labeled_emotion_sadness,decision_tree,0.951532643
recall,0.93782487,0.963468487,0.950620994,0.950646678,0.950620994,sessions_labeled_emotion_interest,decision_tree,0.950620994
f1-score,0.950075949,0.951154265,0.950620994,0.950615107,0.950614027,sessions_labeled_emotion_interest,decision_tree,0.950620994
support,5002,4982,0.950620994,9984,9984,sessions_labeled_emotion_interest,decision_tree,0.950620994
precision,0.881178523,0.909774436,0.894742205,0.89547648,0.895304566,sessions_labeled_agency_012,decision_tree,0.894742205
recall,0.997103548,0.993775437,0.995432692,0.995439493,0.995432692,sessions_labeled_emotion_interest,random_forest,0.995432692
f1-score,0.995421687,0.995443645,0.995432692,0.995432666,0.995432711,sessions_labeled_emotion_interest,random_forest,0.995432692
support,4143,4177,0.995432692,8320,8320,sessions_labeled_emotion_interest,random_forest,0.995432692
precision,0.826705582,0.909411765,0.862823674,0.868058673,0.867625256,sessions_labeled_agency,decision_tree,0.862823674
recall,0.905037985,0.99076676,0.947816506,0.947902373,0.947816506,sessions_labeled_emotion_interest,KNN,0.947816506
f1-score,0.945587467,0.949870105,0.947816506,0.947728786,0.947724497,sessions_labeled_emotion_interest,KNN,0.947816506
support,5002,4982,0.947816506,9984,9984,sessions_labeled_emotion_interest,KNN,0.947816506
precision,0.989223664,0.902672811,0.942137986,0.945948238,0.946295413,sessions_labeled_regret_765,KNN,0.942137986
recall,0.997996795,0.027027027,0.990853052,0.512511911,0.990853052,sessions_labeled_emotion_interest,SVM,0.990853052
f1-score,0.995404595,0.041666667,0.990853052,0.518535631,0.988387633,sessions_labeled_emotion_interest,SVM,0.990853052
support,4992,37,0.990853052,5029,5029,sessions_labeled_emotion_interest,SVM,0.990853052
precision,0.985663873,0.900367647,0.939141769,0.94301576,0.943221005,sessions_labeled_time_765,KNN,0.939141769
recall,0.904978269,0.998796631,0.951532643,0.95188745,0.951532643,sessions_labeled_emotion_sadness,decision_tree,0.951532643
f1-score,0.949528449,0.953383747,0.951532643,0.951456098,0.951441517,sessions_labeled_emotion_sadness,decision_tree,0.951532643
support,5062,4986,0.951532643,10048,10048,sessions_labeled_emotion_sadness,decision_tree,0.951532643
precision,0.776935011,0.89717288,0.825984895,0.837053945,0.836820784,sessions_labeled_space,decision_tree,0.825984895
recall,1,0.999277283,0.999641705,0.999638641,0.999641705,sessions_labeled_emotion_sadness,random_forest,0.999641705
f1-score,0.999644844,0.999638511,0.999641705,0.999641677,0.999641704,sessions_labeled_emotion_sadness,random_forest,0.999641705
support,4222,4151,0.999641705,8373,8373,sessions_labeled_emotion_sadness,random_forest,0.999641705
precision,0.86859472,0.896136795,0.881787845,0.882365758,0.882303093,sessions_labeled_regret,decision_tree,0.881787845
recall,0.933425524,0.991175291,0.962082006,0.962300407,0.962082006,sessions_labeled_emotion_sadness,KNN,0.962082006
f1-score,0.961245041,0.962883585,0.962082006,0.962064313,0.962058116,sessions_labeled_emotion_sadness,KNN,0.962082006
