,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
precision,0.6,0.5,0.5714285714285714,0.55,0.5571428571428572,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,random_forest,0.5714285714285714
recall,0.75,0.3333333333333333,0.5714285714285714,0.5416666666666666,0.5714285714285714,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,random_forest,0.5714285714285714
f1-score,0.6666666666666665,0.4,0.5714285714285714,0.5333333333333332,0.5523809523809523,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,random_forest,0.5714285714285714
support,4.0,3.0,0.5714285714285714,7.0,7.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,random_forest,0.5714285714285714
precision,1.0,0.42857142857142855,0.5,0.7142857142857143,0.7857142857142857,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,naive_bayes,0.5
recall,0.2,1.0,0.5,0.6,0.5,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,naive_bayes,0.5
f1-score,0.33333333333333337,0.6,0.5,0.4666666666666667,0.43333333333333335,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,naive_bayes,0.5
support,5.0,3.0,0.5,8.0,8.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,naive_bayes,0.5
precision,0.42857142857142855,0.5714285714285714,0.5,0.5,0.5102040816326531,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
recall,0.5,0.5,0.5,0.5,0.5,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
f1-score,0.4615384615384615,0.5333333333333333,0.5,0.49743589743589745,0.5025641025641026,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
support,6.0,8.0,0.5,14.0,14.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
precision,0.5,0.5714285714285714,0.5454545454545454,0.5357142857142857,0.538961038961039,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.5454545454545454
recall,0.4,0.6666666666666666,0.5454545454545454,0.5333333333333333,0.5454545454545454,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.5454545454545454
f1-score,0.4444444444444445,0.6153846153846153,0.5454545454545454,0.5299145299145299,0.5376845376845376,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.5454545454545454
support,5.0,6.0,0.5454545454545454,11.0,11.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.5454545454545454
precision,0.42857142857142855,0.5714285714285714,0.5,0.5,0.5102040816326531,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
recall,0.5,0.5,0.5,0.5,0.5,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
