,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
recall,0.4789915966386555,0.6421052631578947,0.5514018691588785,0.5605484298982751,0.5514018691588785,sessions_labeled_emotion_calm,KNN,0.5514018691588785
f1-score,0.5428571428571428,0.5596330275229359,0.5514018691588785,0.5512450851900393,0.5503043813770042,sessions_labeled_emotion_calm,KNN,0.5514018691588785
support,119.0,95.0,0.5514018691588785,214.0,214.0,sessions_labeled_emotion_calm,KNN,0.5514018691588785
precision,0.603448275862069,0.65,0.6121495327102804,0.6267241379310344,0.6241137608765711,sessions_labeled_emotion_calm,naive_bayes,0.6121495327102804
recall,0.8823529411764706,0.2736842105263158,0.6121495327102804,0.5780185758513932,0.6121495327102804,sessions_labeled_emotion_calm,naive_bayes,0.6121495327102804
f1-score,0.7167235494880546,0.3851851851851852,0.6121495327102804,0.55095436733662,0.5695453036526686,sessions_labeled_emotion_calm,naive_bayes,0.6121495327102804
support,119.0,95.0,0.6121495327102804,214.0,214.0,sessions_labeled_emotion_calm,naive_bayes,0.6121495327102804
precision,0.6190476190476191,0.47019867549668876,0.514018691588785,0.5446231472721539,0.5529698170039817,sessions_labeled_emotion_calm,SVM,0.514018691588785
recall,0.3277310924369748,0.7473684210526316,0.514018691588785,0.5375497567448032,0.514018691588785,sessions_labeled_emotion_calm,SVM,0.514018691588785
f1-score,0.4285714285714286,0.5772357723577235,0.514018691588785,0.502903600464576,0.49456728212141937,sessions_labeled_emotion_calm,SVM,0.514018691588785
support,119.0,95.0,0.514018691588785,214.0,214.0,sessions_labeled_emotion_calm,SVM,0.514018691588785
precision,0.4,0.0,0.4,0.2,0.16,sessions_labeled_emotion_disgust,decision_tree,0.4
recall,1.0,0.0,0.4,0.5,0.4,sessions_labeled_emotion_disgust,decision_tree,0.4
f1-score,0.5714285714285715,0.0,0.4,0.28571428571428575,0.2285714285714286,sessions_labeled_emotion_disgust,decision_tree,0.4
support,2.0,3.0,0.4,5.0,5.0,sessions_labeled_emotion_disgust,decision_tree,0.4
precision,0.25,0.0,0.25,0.125,0.0625,sessions_labeled_emotion_disgust,random_forest,0.25
recall,1.0,0.0,0.25,0.5,0.25,sessions_labeled_emotion_disgust,random_forest,0.25
f1-score,0.4,0.0,0.25,0.2,0.1,sessions_labeled_emotion_disgust,random_forest,0.25
support,1.0,3.0,0.25,4.0,4.0,sessions_labeled_emotion_disgust,random_forest,0.25
precision,0.5,0.6666666666666666,0.6,0.5833333333333333,0.6,sessions_labeled_emotion_disgust,KNN,0.6
recall,0.5,0.6666666666666666,0.6,0.5833333333333333,0.6,sessions_labeled_emotion_disgust,KNN,0.6
f1-score,0.5,0.6666666666666666,0.6,0.5833333333333333,0.6,sessions_labeled_emotion_disgust,KNN,0.6
